stop_name,stop_lat,stop_lon,wheelchair_accessible,bikes_allowed,is_express,stop_id
5201 S 1st/Ramble,30.211573,-97.779025,1,1,False,1545
Del Valle ISD,30.174866,-97.610837,1,1,False,5622
108 45th Street/Avenue D,30.309112,-97.729235,1,1,False,1054
3807 Greystone/Chimney Corners,30.36082,-97.75738,1,1,False,1917
5012 West Gate/Jones,30.225819,-97.803849,1,1,False,2338
1113 Wells Branch/Drusillas,30.437941,-97.658872,1,1,False,5767
Riverside/Kenwood,30.248592,-97.736886,1,1,False,1188
5401 Convict Hill/Beckett,30.220475,-97.85798,1,1,False,3208
Del Valle ISD (Alt School),30.175917,-97.612199,1,1,False,5803
5100 William Cannon/Pleasant Valley,30.180326,-97.748355,1,1,False,5383
Airport Blvd SB (Airport/Manor),30.285952,-97.706369,1,1,True,6496
4823 Riverside/Crossing Place,30.231928,-97.717861,1,1,False,1021
5001 S 1st/Emerald Wood,30.213276,-97.778011,1,1,False,1546
5th/Nueces,30.268672,-97.748979,1,1,False,2110
13510 Metric/Howard,30.424487,-97.679624,1,1,False,4820
6800 Woodrow/Choquette,30.339208,-97.727376,1,1,False,964
6608 Meadow Lake/William Cannon,30.180618,-97.750504,1,1,False,2504
6502 Bluff Springs/William Cannon,30.189947,-97.767587,1,1,False,5377
2918 Martin Luther King Jr/Clifford,30.282033,-97.70768,1,1,False,5786
408 45th Street/Avenue A,30.310425,-97.731878,1,1,False,1055
LBJ High School SB (Pecan Brook/Uray),30.314638,-97.655825,1,1,True,1616
Georgian/Jennifer,30.349752,-97.702016,1,1,False,1150
Bluebonnet Station (NB),30.246384,-97.778167,1,1,True,5875
5306 West Gate/Indio,30.223145,-97.805582,1,1,False,2339
Research/Georgian,30.344432,-97.705583,1,1,False,5646
3615 Greystone/Hart,30.35865,-97.75363,1,1,False,1918
Cameron/Ferguson,30.347063,-97.677003,1,1,False,3144
619 45th/Guadalupe,30.311122,-97.733277,1,1,False,1056
2100 Wickersham/Riverside,30.231526,-97.720884,1,1,False,1022
6600 Woodrow/Brentwood,30.337479,-97.728461,1,1,False,965
2832 Martin Luther King Jr/Alexander,30.281684,-97.709892,1,1,False,5801
6806 Meadow Lake/Bucks Run,30.179147,-97.753231,1,1,False,2505
9101 Burnet/Research,30.374709,-97.725908,1,1,False,4753
Georgian/Powell,30.347697,-97.703234,1,1,False,1151
4617 S 1st/Orland,30.216799,-97.775454,1,1,False,1548
5207 Eastside Bus Plaza Bay G,30.251577,-97.697387,1,1,False,6447
6000 Riverside/Clubview,30.226586,-97.706711,1,1,False,951
5125 Convict Hill/Woodcreek,30.218895,-97.854694,1,1,False,4446
6500 Jonathan Dr (Highland Mall),30.328767,-97.713056,1,1,False,1415
8th Street NB (Trinity/8th),30.269216,-97.738446,1,1,False,6315
Riverside/Summit,30.245976,-97.731836,1,1,False,999
3535 Greystone/Wood Hollow,30.358258,-97.751138,1,1,False,4652
Braker/Road A (UT-PRC),30.392361,-97.725994,1,1,False,5718
Delco Center SB (Pecan Brook/Springdale),30.317947,-97.659681,1,1,True,1618
Wickersham/Sheringham,30.229914,-97.721493,1,1,False,1023
4923 Convict Hill/Flaming Oak,30.217966,-97.852755,1,1,False,4445
7400 Wood Hollow/Greystone,30.35775,-97.75079,1,1,False,1919
Gilwell/Bahan,30.175517,-97.616139,1,1,False,5990
1600 Heatherwilde/Wells Branch,30.432288,-97.654196,1,1,False,5768
107 Chicon/Cesar Chavez,30.257488,-97.724394,1,1,False,6331
4205 Victory/Ben White,30.232805,-97.7907,1,1,False,4212
1827 38th Half/Airport,30.28924,-97.707815,1,1,False,6288
Woodrow/Payne,30.335923,-97.729446,1,1,False,966
Meadow Lake/Glade Line,30.178193,-97.754961,1,1,False,5137
Oltorf West Station (NB),30.248024,-97.771014,1,1,True,2260
Stassney/Meadow Crest,30.191183,-97.73152,1,1,False,5147
8000 Georgian/Anderson,30.344902,-97.704659,1,1,False,1152
2700 Martin Luther King/Walnut,30.28113,-97.713317,1,1,False,909
