route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
880,322,1,23,322 Hancock Center NB,2864
881,333,0,22,333 Oak Hill WB,1686
882,5,0,25,5 Tannehill EB,2913
883,300,1,14,300 Crestview Station NB,4044
884,315,1,8,315 Oak Hill WB,1746
885,7,0,48,7 William Cannon SB,4317
886,18,1,25,18 Exposition WB,1513
887,383,0,18,383 Lakeline Station NB,3806
888,350,1,21,350 ACC Riverside SB,3298
889,803,0,10,803 Domain NB,2606
890,1,1,31,1 Tech Ridge Park & Ride NB,1042
891,135,0,7,135 Tech Ridge Park & Ride NB,5918
892,318,0,24,318 Thaxton EB,6334
893,333,1,23,333 Thaxton EB,3226
894,2,0,18,2 EASTSIDE BUS PLAZA SB,5938
895,7,1,13,7 Crestview Station NB,1228
896,803,1,10,803 Westgate Transit Center SB,684
897,837,1,7,837 Decker NB,2006
898,10,0,50,10 Southpark Meadows SB,1673
899,30,0,7,30 NORTHCROSS NB,2184
900,322,1,24,322 Hancock Center NB,2071
901,311,1,15,311 ACC RIVERSIDE EB,3113
902,310,1,21,310 S. Congress Transit Center WB,5240
903,300,1,15,300 Crestview Station NB,4040
904,315,1,9,315 Oak Hill WB,1747
905,135,0,8,135 Tech Ridge Park & Ride NB,3271
906,318,0,25,318 Thaxton EB,6469
907,800,0,7,800 Mueller NB,6505
908,333,0,23,333 Oak Hill WB,3173
909,318,1,14,318 Westgate Transit Center WB,2934
910,392,1,2,392 Kramer Station WB,5530
911,10,1,33,10 Norwood Transit Center NB,1565
912,3,1,27,3 Arboretum NB,4230
913,322,1,25,322 Hancock Center NB,4738
914,325,1,17,325 Tech Ridge Park & Ride NB,3152
915,350,0,21,350 North Lamar Transit Center NB,5436
916,383,0,19,383 Lakeline Station NB,4688
917,7,0,49,7 William Cannon SB,1202
918,30,1,31,30 Westgate Transit Center SB,1935
919,325,0,16,325 Norwood Transit Center SB,4769
920,800,1,11,800 Slaughter SB,4288
921,311,0,25,311 Westgate Transit Center WB,3103
922,335,0,17,335 Exposition WB,2087
923,383,1,4,383 North Lamar Transit Center SB,5411
924,7,1,14,7 Crestview Station NB,1229
925,4,1,20,4 Shady EB,939
926,18,1,26,18 Exposition WB,4157
927,10,0,51,10 Southpark Meadows SB,1674
928,311,1,16,311 ACC RIVERSIDE EB,3114
929,318,1,15,318 Westgate Transit Center WB,2935
