stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
2299,14,337 Mopac WB,0,337,1,1,30.317815,-97.680764,6800 Northeast/Loyola,False
1032,31,7 Airport/Highland NB,1,7,1,1,30.24114,-97.727591,Riverside/Town Creek,False
4728,11,324 Highland EB,0,324,1,1,30.369704,-97.716323,1830 Colony Creek/Northgate,False
6479,2,10 Norwood Transit Center NB,1,10,1,1,30.167797,-97.79335,305 Slaughter/Alice Mae,False
1101,15,5 Northcross WB,1,5,1,1,30.274879,-97.713399,12th/Cedar,False
2300,15,337 Mopac WB,0,337,1,1,30.315093,-97.681362,6502 Northeast/North Hampton,False
3127,12,324 Highland EB,0,324,1,1,30.371518,-97.715819,Northgate/Rundberg,False
4610,16,337 Mopac WB,0,337,1,1,30.3138,-97.681756,6400 North Hampton/Bristol,False
6443,32,7 Airport/Highland NB,1,7,1,1,30.243702,-97.729475,1770 Riverside/Shore District,False
5968,3,10 Norwood Transit Center NB,1,10,1,1,30.169519,-97.795847,324 Slaughter/Francia,False
5937,24,7 William Cannon SB,0,7,1,1,30.269914,-97.741869,104 8th/Congress,False
1102,16,5 Northcross WB,1,5,1,1,30.27439,-97.716486,2204 12th/Chestnut,False
5008,17,337 Mopac WB,0,337,1,1,30.312469,-97.684539,6200 North Hampton/Wheless,False
6432,7,217 Shady Lane NB,0,217,1,1,30.232832,-97.684391,183/Patton (Esperanza Community),False
1103,17,5 Northcross WB,1,5,1,1,30.273963,-97.719142,1914 12th/Chicon,False
1906,3,30 Westgate Transit Center SB,1,30,1,1,30.364974,-97.735546,Steck/Sandalwood,False
5858,5,801 Southpark Meadows SB,1,801,1,1,30.370933,-97.692733,Masterson Station (SB),True
1034,33,7 Airport/Highland NB,1,7,1,1,30.246505,-97.731969,1600 Riverside/Summit,False
1179,30,10 Southpark Meadows SB,0,10,1,1,30.285506,-97.733782,UT Stadium SB (San Jacinto/23rd),False
4404,4,10 Norwood Transit Center NB,1,10,1,1,30.173403,-97.798751,8905 S 1st/Slaughter,False
6255,13,324 Highland EB,0,324,1,1,30.371315,-97.709301,9512 Mountain Quail/Rutland,False
4649,4,30 Westgate Transit Center SB,1,30,1,1,30.365892,-97.737465,Steck/Daleview,False
1105,18,5 Northcross WB,1,5,1,1,30.273521,-97.72187,1700 12th/Leona,False
2302,18,337 Mopac WB,0,337,1,1,30.312629,-97.688711,2006 Gaston Place/Wellington,False
5938,25,7 William Cannon SB,0,7,1,1,30.270613,-97.744215,216 8th/Lavaca,False
1180,31,10 Southpark Meadows SB,0,10,1,1,30.283014,-97.7341,2098 SAN JACINTO/21ST,False
3768,5,10 Norwood Transit Center NB,1,10,1,1,30.176671,-97.797694,8515 S 1st/Hyde Park,False
1907,5,30 Westgate Transit Center SB,1,30,1,1,30.366965,-97.739674,3400 Steck/Shoal Creek,False
4326,1,20 Springdale NB,0,20,1,1,30.202744,-97.665653,ABIA Lower Level,False
5607,1,243 Tech Ridge Park & Ride EB,1,243,1,1,30.439972,-97.70124,Howard Station Bus Stop,False
6439,1,311 Westgate Transit Center WB,0,311,1,1,30.23618,-97.703723,ACC Riverside  @ Grove,False
5781,19,337 Mopac WB,0,337,1,1,30.31399,-97.692156,1718 Briarcliff/Berkman,False
6439,1,350 North Lamar Transit Center NB,0,350,1,1,30.23618,-97.703723,ACC Riverside  @ Grove,False
5642,2,18 Exposition WB,1,18,1,1,30.28262,-97.676905,5107 Heflin/Webberville,False
1106,19,5 Northcross WB,1,5,1,1,30.273059,-97.7249,1400 12th/Angelina,False
1246,34,7 Airport/Highland NB,1,7,1,1,30.249906,-97.738594,1000 East Riverside/Travis Heights,False
6252,14,324 Highland EB,0,324,1,1,30.375848,-97.705196,10014 Mountain Quail/Mearns Meadow,False
3769,6,10 Norwood Transit Center NB,1,10,1,1,30.179635,-97.795803,8313 S 1st/Great Britain,False
2305,20,337 Mopac WB,0,337,1,1,30.315083,-97.694414,1500 Briarcliff/Belfast,False
2636,7,10 Norwood Transit Center NB,1,10,1,1,30.180906,-97.794841,8201 S 1st/Mairo,False
2597,1,333 Thaxton EB,1,333,1,1,30.234966,-97.87694,Oak Hill Plaza,False
1107,20,5 Northcross WB,1,5,1,1,30.272727,-97.726844,1220 12th/San Bernard,False
1909,6,30 Westgate Transit Center SB,1,30,1,1,30.368976,-97.743943,Steck/Mopac,False
